Id	Sire	Dam	Line
10975109	Sire_15	Dam_15	Utete
10974834	Sire_15	Dam_15	Utete
10975138	Sire_15	Dam_15	Utete
10975593	Sire_16	Dam_16	Utete
10975313	Sire_16	Dam_16	Utete
10974731	Sire_16	Dam_16	Utete
10974695	Sire_16	Dam_16	Utete
10975537	Sire_16	Dam_16	Utete
10975489	Sire_16	Dam_16	Utete
10975268	Sire_16	Dam_16	Utete
10974711	Sire_16	Dam_16	Utete
10975049	Sire_16	Dam_16	Utete
10975467	Sire_16	Dam_16	Utete
10974781	Sire_16	Dam_16	Utete
10975275	Sire_16	Dam_16	Utete
10974970	Sire_16	Dam_16	Utete
10974867	Sire_16	Dam_16	Utete
10975103	Sire_16	Dam_16	Utete
10975145	Sire_16	Dam_16	Utete
10975243	Sire_16	Dam_16	Utete
10975398	Sire_16	Dam_16	Utete
10974669	Sire_16	Dam_16	Utete
10974887	Sire_16	Dam_16	Utete
10974844	Sire_16	Dam_16	Utete
10975362	Sire_16	Dam_16	Utete
10974704	Sire_16	Dam_16	Utete
10975411	Sire_16	Dam_16	Utete
10975238	Sire_16	Dam_16	Utete
10975149	Sire_16	Dam_16	Utete
10974819	Sire_16	Dam_16	Utete
10975079	Sire_16	Dam_16	Utete
10974884	Sire_16	Dam_16	Utete
10974633	Sire_16	Dam_16	Utete
10975056	Sire_17	Dam_17	Kibasira
10974876	Sire_17	Dam_17	Kibasira
10974895	Sire_17	Dam_17	Kibasira
10974706	Sire_17	Dam_17	Kibasira
10974793	Sire_17	Dam_17	Kibasira
10975377	Sire_17	Dam_17	Kibasira
10975222	Sire_17	Dam_17	Kibasira
10975436	Sire_17	Dam_17	Kibasira
10974649	Sire_17	Dam_17	Kibasira
10975563	Sire_17	Dam_17	Kibasira
10975250	Sire_17	Dam_17	Kibasira
10975354	Sire_17	Dam_17	Kibasira
10975018	Sire_18	Dam_18	Kibasira
10975476	Sire_18	Dam_18	Kibasira
10975578	Sire_18	Dam_18	Kibasira
10975549	Sire_18	Dam_18	Kibasira
10975565	Sire_18	Dam_18	Kibasira
10974851	Sire_18	Dam_18	Kibasira
10975487	Sire_18	Dam_18	Kibasira
10974946	Sire_18	Dam_18	Kibasira
10974661	Sire_18	Dam_18	Kibasira
10975002	Sire_18	Dam_18	Kibasira
10975244	Sire_18	Dam_18	Kibasira
10975182	Sire_18	Dam_18	Kibasira
10974753	Sire_18	Dam_18	Kibasira
10975717	Sire_18	Dam_18	Kibasira
10975536	Sire_19	Dam_19	Kibasira
10975172	Sire_19	Dam_19	Kibasira
10975255	Sire_19	Dam_19	Kibasira
10975405	Sire_19	Dam_19	Kibasira
10975218	Sire_19	Dam_19	Kibasira
10974693	Sire_19	Dam_19	Kibasira
10974957	Sire_19	Dam_19	Kibasira
10975164	Sire_19	Dam_19	Kibasira
10975304	Sire_19	Dam_19	Kibasira
10975020	Sire_19	Dam_19	Kibasira
10975452	Sire_19	Dam_19	Kibasira
10974927	Sire_19	Dam_19	Kibasira
10975481	Sire_19	Dam_19	Kibasira
10975340	Sire_19	Dam_19	Kibasira
10974919	Sire_19	Dam_19	Kibasira
10975615	Sire_19	Dam_19	Kibasira
10975604	Sire_19	Dam_19	Kibasira
10975010	Sire_19	Dam_19	Kibasira
10975534	Sire_19	Dam_19	Kibasira
10975341	Sire_19	Dam_19	Kibasira
10975451	Sire_19	Dam_19	Kibasira
10974960	Sire_19	Dam_19	Kibasira
10975574	Sire_19	Dam_19	Kibasira
10975603	Sire_19	Dam_19	Kibasira
10975392	Sire_19	Dam_19	Kibasira
10975124	Sire_19	Dam_19	Kibasira
10974936	Sire_19	Dam_19	Kibasira
10974854	Sire_19	Dam_19	Kibasira
10975182	Sire_19	Dam_19	Kibasira
10974678	Sire_19	Dam_19	Kibasira
10974939	Sire_19	Dam_19	Kibasira
10975153	Sire_19	Dam_19	Kibasira
10977207	Sire_20	Dam_20	Nyamisati
10977619	Sire_20	Dam_20	Nyamisati
10977332	Sire_20	Dam_20	Nyamisati
10977334	Sire_20	Dam_20	Nyamisati
10977498	Sire_20	Dam_20	Nyamisati
10977414	Sire_20	Dam_20	Nyamisati
10976765	Sire_20	Dam_20	Nyamisati
10976711	Sire_20	Dam_20	Nyamisati
10977248	Sire_20	Dam_20	Nyamisati
10977192	Sire_20	Dam_20	Nyamisati
10977257	Sire_20	Dam_20	Nyamisati
10976662	Sire_20	Dam_20	Nyamisati
10976950	Sire_20	Dam_20	Nyamisati
10977276	Sire_20	Dam_20	Nyamisati
10974658	Sire_20	Dam_20	Nyamisati
10977087	Sire_20	Dam_20	Nyamisati
10977624	Sire_20	Dam_20	Nyamisati
10977150	Sire_20	Dam_20	Nyamisati
10974707	Sire_20	Dam_20	Nyamisati
10975540	Sire_20	Dam_20	Nyamisati
10976734	Sire_20	Dam_20	Nyamisati
10977399	Sire_20	Dam_20	Nyamisati
10976654	Sire_20	Dam_20	Nyamisati
10977188	Sire_20	Dam_20	Nyamisati
10976805	Sire_20	Dam_20	Nyamisati
10977528	Sire_20	Dam_20	Nyamisati
10977164	Sire_20	Dam_20	Nyamisati
10976936	Sire_20	Dam_20	Nyamisati
10976756	Sire_20	Dam_20	Nyamisati
10975517	Sire_21	Dam_21	Nyamisati
10974825	Sire_21	Dam_21	Nyamisati
10975512	Sire_21	Dam_21	Nyamisati
10975207	Sire_21	Dam_21	Nyamisati
10975170	Sire_21	Dam_21	Nyamisati
10975094	Sire_21	Dam_21	Nyamisati
10975300	Sire_21	Dam_21	Nyamisati
10974954	Sire_21	Dam_21	Nyamisati
10974780	Sire_21	Dam_21	Nyamisati
10975216	Sire_21	Dam_21	Nyamisati
10975234	Sire_21	Dam_21	Nyamisati
10974787	Sire_21	Dam_21	Nyamisati
10975047	Sire_21	Dam_21	Nyamisati
10975015	Sire_21	Dam_21	Nyamisati
10975276	Sire_21	Dam_21	Nyamisati
10974870	Sire_21	Dam_21	Nyamisati
10974847	Sire_21	Dam_21	Nyamisati
10975625	Sire_21	Dam_21	Nyamisati
10974663	Sire_21	Dam_21	Nyamisati
10975072	Sire_21	Dam_21	Nyamisati
10975248	Sire_21	Dam_21	Nyamisati
10974826	Sire_21	Dam_21	Nyamisati
10975075	Sire_21	Dam_21	Nyamisati
10975523	Sire_21	Dam_21	Nyamisati
10975126	Sire_21	Dam_21	Nyamisati
10975577	Sire_21	Dam_21	Nyamisati
10974865	Sire_21	Dam_21	Nyamisati
10975619	Sire_22	Dam_22	Nyamisati
10975211	Sire_22	Dam_22	Nyamisati
10975076	Sire_22	Dam_22	Nyamisati
10975237	Sire_22	Dam_22	Nyamisati
10975327	Sire_22	Dam_22	Nyamisati
10974979	Sire_22	Dam_22	Nyamisati
10974738	Sire_22	Dam_22	Nyamisati
10975285	Sire_22	Dam_22	Nyamisati
10975035	Sire_22	Dam_22	Nyamisati
10975568	Sire_22	Dam_22	Nyamisati
10975339	Sire_22	Dam_22	Nyamisati
10974767	Sire_22	Dam_22	Nyamisati
10975282	Sire_22	Dam_22	Nyamisati
10975044	Sire_22	Dam_22	Nyamisati
10475459	Sire_22	Dam_22	Nyamisati
10975444	Sire_22	Dam_22	Nyamisati
10975230	Sire_22	Dam_22	Nyamisati
10974900	Sire_22	Dam_22	Nyamisati
10975495	Sire_22	Dam_22	Nyamisati
10374831	Sire_22	Dam_22	Nyamisati
10975601	Sire_22	Dam_22	Nyamisati
10975037	Sire_22	Dam_22	Nyamisati
10974723	Sire_22	Dam_22	Nyamisati
10975557	Sire_22	Dam_22	Nyamisati
10975203	Sire_22	Dam_22	Nyamisati
10974730	Sire_22	Dam_22	Nyamisati
10975030	Sire_22	Dam_22	Nyamisati
10975612	Sire_22	Dam_22	Nyamisati
10974705	Sire_22	Dam_22	Nyamisati
10975272	Sire_23	Dam_23	Nyamisati
10974699	Sire_23	Dam_23	Nyamisati
10975176	Sire_23	Dam_23	Nyamisati
10975564	Sire_23	Dam_23	Nyamisati
10975385	Sire_23	Dam_23	Nyamisati
10975592	Sire_23	Dam_23	Nyamisati
10975116	Sire_23	Dam_23	Nyamisati
10975053	Sire_23	Dam_23	Nyamisati
10974643	Sire_23	Dam_23	Nyamisati
10975217	Sire_23	Dam_23	Nyamisati
10974983	Sire_23	Dam_23	Nyamisati
10975504	Sire_23	Dam_23	Nyamisati
10974690	Sire_23	Dam_23	Nyamisati
10975245	Sire_23	Dam_23	Nyamisati
10975288	Sire_23	Dam_23	Nyamisati
10975151	Sire_23	Dam_23	Nyamisati
10975123	Sire_23	Dam_23	Nyamisati
10974725	Sire_23	Dam_23	Nyamisati
10975258	Sire_23	Dam_23	Nyamisati
10975194	Sire_23	Dam_23	Nyamisati
10975570	Sire_23	Dam_23	Nyamisati
10975264	Sire_23	Dam_23	Nyamisati
10974694	Sire_23	Dam_23	Nyamisati
10975317	Sire_23	Dam_23	Nyamisati
10975073	Sire_23	Dam_23	Nyamisati
10975368	Sire_23	Dam_23	Nyamisati
10975081	Sire_23	Dam_23	Nyamisati
10974881	Sire_23	Dam_23	Nyamisati
10975468	Sire_23	Dam_23	Nyamisati
10975525	Sire_23	Dam_23	Nyamisati
10974764	Sire_24	Dam_24	Bwawani
10974698	Sire_24	Dam_24	Bwawani
10975195	Sire_24	Dam_24	Bwawani
10974894	Sire_24	Dam_24	Bwawani
10975610	Sire_24	Dam_24	Bwawani
10975278	Sire_24	Dam_24	Bwawani
10975571	Sire_24	Dam_24	Bwawani
10975196	Sire_24	Dam_24	Bwawani
10974944	Sire_24	Dam_24	Bwawani
10975001	Sire_24	Dam_24	Bwawani
10975379	Sire_24	Dam_24	Bwawani
10974930	Sire_24	Dam_24	Bwawani
10975042	Sire_24	Dam_24	Bwawani
10975098	Sire_24	Dam_24	Bwawani
10974880	Sire_24	Dam_24	Bwawani
10975370	Sire_24	Dam_24	Bwawani
10975305	Sire_24	Dam_24	Bwawani
10975501	Sire_24	Dam_24	Bwawani
10975046	Sire_24	Dam_24	Bwawani
10974928	Sire_24	Dam_24	Bwawani
10974746	Sire_24	Dam_24	Bwawani
10975296	Sire_24	Dam_24	Bwawani
10975011	Sire_24	Dam_24	Bwawani
10975319	Sire_24	Dam_24	Bwawani
10975421	Sire_24	Dam_24	Bwawani
10974926	Sire_24	Dam_24	Bwawani
10975122	Sire_24	Dam_24	Bwawani
10975410	Sire_24	Dam_24	Bwawani
10974668	Sire_24	Dam_24	Bwawani
10975622	Sire_24	Dam_24	Bwawani
10974907	Sire_25	Dam_25	Bwawani
10975297	Sire_25	Dam_25	Bwawani
10975279	Sire_25	Dam_25	Bwawani
10974673	Sire_25	Dam_25	Bwawani
10975261	Sire_25	Dam_25	Bwawani
10974636	Sire_25	Dam_25	Bwawani
10974901	Sire_25	Dam_25	Bwawani
10974659	Sire_25	Dam_25	Bwawani
