Id	Sire	Dam	Year_Class	Selected_gen
478988	01EB04	FC4A3A	2013	7
479112	01EB04	FC4A3A	2013	7
479110	01EB04	FC4A3A	2013	7
479120	01EB04	FC4A3A	2013	7
479171	01EB04	FC4A3A	2013	7
479101	01EB04	FC4A3A	2013	7
479141	01EB04	FC4A3A	2013	7
479011	01EB04	FC4A3A	2013	7
479069	01EB04	FC4A3A	2013	7
479093	01EB04	FC4A3A	2013	7
479059	01EB04	FC4A3A	2013	7
479119	01EB04	FC4A3A	2013	7
479134	01EB04	FC4A3A	2013	7
479092	01EB04	FC4A3A	2013	7
479126	01EB04	FC4A3A	2013	7
479186	01EB04	FC4A3A	2013	7
479073	01EB04	FC4A3A	2013	7
479094	01EB04	FC4A3A	2013	7
479079	01EB04	FC4A3A	2013	7
479031	01EB04	FC4A3A	2013	7
479088	01EB04	FC4A3A	2013	7
479153	01EB04	FC4A3A	2013	7
479172	01EB04	FC4A3A	2013	7
479164	01EB04	FC4A3A	2013	7
478995	01EB04	FC4A3A	2013	7
479065	01EB04	FC4A3A	2013	7
479137	01EB04	FC4A3A	2013	7
479099	01EB04	FC4A3A	2013	7
479154	01EB04	FC4A3A	2013	7
479156	01EB04	FC4A3A	2013	7
479107	01EB04	FC4A3A	2013	7
479159	01EB04	FC4A3A	2013	7
479035	01EB04	FC4A3A	2013	7
479014	01EB04	FC4A3A	2013	7
479122	01EB04	FC4A3A	2013	7
479169	01EB04	FC4A3A	2013	7
479091	01EB04	FC4A3A	2013	7
479161	01EB04	FC4A3A	2013	7
479067	01EB04	FC4A3A	2013	7
479095	01EB04	FC4A3A	2013	7
479115	01EB04	FC4A3A	2013	7
479113	01EB04	FC4A3A	2013	7
479150	01EB04	FC4A3A	2013	7
479106	01EB04	FC4A3A	2013	7
479100	01EB04	FC4A3A	2013	7
479097	01EB04	FC4A3A	2013	7
479188	01EB04	FC4A3A	2013	7
479060	01EB04	FC4A3A	2013	7
478999	01EB04	FC4A3A	2013	7
479146	01EB04	FC4A3A	2013	7
478993	01EB04	FC4A3A	2013	7
479010	01EB04	FC4A3A	2013	7
479131	01EB04	FC4A3A	2013	7
479184	01EB04	FC4A3A	2013	7
478994	01EB04	FC4A3A	2013	7
479127	01EB04	FC4A3A	2013	7
479108	01EB04	FC4A3A	2013	7
479089	01EB04	FC4A3A	2013	7
479129	01EB04	FC4A3A	2013	7
479076	01EB04	FC4A3A	2013	7
479047	01EB04	FC4A3A	2013	7
479175	01EB04	FC4A3A	2013	7
479144	01EB04	FC4A3A	2013	7
479096	01EB04	FC4A3A	2013	7
479036	01EB04	FC4A3A	2013	7
479005	01EB04	FC4A3A	2013	7
479016	01EB04	FC4A3A	2013	7
479136	01EB04	FC4A3A	2013	7
479013	01EB04	FC4A3A	2013	7
479070	01EB04	FC4A3A	2013	7
479114	01EB04	FC4A3A	2013	7
479080	01EB04	FC4793	2013	7
479189	01EB04	FC4793	2013	7
479316	01EB04	FC4793	2013	7
