PIT	Length	Weight	Tank	Sex	Site
918542	425	2504	2	U	1
918707	480	1675	2	U	1
916548	480	1642	2	U	1
916680	450	1244	2	U	1
916019	450	1492	2	U	1
916031	400	1045	2	U	1
915913	500	1932	2	U	1
918915	470	1722	2	U	1
916746	430	1133	2	U	1
916400	405	983	2	U	1
917785	420	1058	2	U	1
915839	470	1901	2	U	1
919695	445	1220	2	U	1
919704	465	1478	2	M	1
920250	445	1263	2	U	1
918112	465	1368	2	M	1
917017	450	1419	2	U	1
919280	470	1470	2	U	1
917682	500	1826	2	U	1
919068	425	911	2	U	1
918556	415	996	2	U	1
919995	450	1304	2	M	1
915915	535	2109	2	M	1
917146	475	1498	2	U	1
918536	475	1994	2	M	1
917543	495	2292	2	U	1
917610	470	1595	2	U	1
919547	495	2017	2	U	1
919959	445	1838	2	U	1
915635	410	1200	2	U	1
920140	485	1858	2	U	1
917005	475	1713	2	U	1
918748	460	1351	2	M	1
918549	440	1101	2	M	1
916218	460	1423	2	U	1
915581	460	1470	2	U	1
919241	475	1738	2	U	1
919446	475	1615	2	M	1
920054	460	1580	2	U	1
918179	440	1064	2	U	1
916529	455	1318	2	M	1
918188	465	1664	2	U	1
915784	480	1333	2	M	1
918209	450	1381	2	U	1
919366	435	966	2	U	1
915747	485	1828	2	M	1
919935	445	1331	2	U	1
918260	405	1013	2	U	1
918248	455	1545	2	U	1
917208	420	1117	2	U	1
917354	425	1032	2	M	1
918098	485	1723	2	U	1
917336	440	1197	2	U	1
915612	475	1561	2	M	1
917331	495	1825	2	M	1
916681	455	1251	2	U	1
916586	465	1557	2	U	1
919538	470	1499	2	U	1
916723	475	1618	2	U	1
917949	395	767	2	U	1
917686	430	1075	2	M	1
916149	445	1472	2	M	1
915948	470	1727	2	U	1
918732	440	1443	2	U	1
915730	450	1395	2	M	1
916472	475	1874	2	U	1
916966	425	1297	2	M	1
916570	510	2113	2	M	1
918127	445	1042	2	M	1
915583	440	1436	2	U	1
920423	495	1697	2	U	1
916042	470	1565	2	U	1
915984	440	1548	2	U	1
918048	390	800	2	U	1
919951	395	1000	2	U	1
916560	495	1953	2	M	1
916415	485	1893	2	U	1
920566	530	2103	2	U	1
920388	475	1650	2	U	1
918110	450	1737	2	U	1
917257	410	1273	2	U	1
917693	510	1801	2	M	1
916439	465	1435	2	U	1
916670	460	1452	2	U	1
920004	400	757	2	U	1
916773	475	1795	4	U	2
916223	455	1923	4	U	2
915929	420	1147	4	U	2
919578	510	1639	4	U	2
917624	495	1972	4	U	2
917854	445	1245	4	U	2
916947	430	1130	4	U	2
916693	450	1302	4	U	2
916785	455	1400	4	U	2
920475	515	2460	4	U	2
917910	475	1742	4	U	2
919619	550	2989	4	M	2
916709	490	1889	4	U	2
916980	515	2640	4	U	2
920407	465	1625	4	U	2
917945	460	1587	4	U	2
918337	460	1793	4	U	2
917404	520	2004	4	M	2
916747	520	2240	4	U	2
919804	415	1073	4	U	2
916253	405	871	4	U	2
919840	535	2924	4	U	2
918106	480	1385	2	U	1
919976	405	925	2	U	1
917380	485	2104	2	U	1
918395	460	1460	2	U	1
915876	405	921	2	U	1
915650	445	1145	2	U	1
917056	430	1099	2	U	1
917786	490	1499	2	U	1
919684	465	1474	2	U	1
920431	460	1478	2	U	1
917635	455	1467	2	M	1
918429	455	1331	2	U	1
916494	485	1739	2	U	1
916021	425	1021	2	U	1
917149	330	375	2	U	1
915943	475	1712	2	U	1
919426	475	1608	2	U	1
919351	430	1216	2	U	1
920142	440	1229	2	U	1
918023	460	1679	2	M	1
915852	425	1108	2	U	1
918482	375	674	2	U	1
917037	435	1178	2	U	1
918953	465	1595	2	U	1
920157	450	1457	2	U	1
918273	460	1430	2	M	1
919476	465	1882	2	U	1
916546	465	1585	2	U	1
920013	425	1201	2	U	1
920570	505	2079	2	U	1
917052	490	1513	2	M	1
918846	440	1407	2	M	1
917362	495	1992	2	U	1
916369	460	1606	2	U	1
916108	435	1118	2	U	1
918392	475	1495	2	U	1
